  0   0.00
  6   1.00
 12   0.96
 18   1.00
 24   0.93
 30   1.00
 36   0.96
 42   1.00
 48   0.87
 54   1.00
 60   0.96
 66   1.00
 72   0.93
 78   1.00
 84   0.96
 90   1.00
 96   0.75
102   1.00
108   0.96
114   1.00
120   0.93
126   1.00
132   0.96
138   1.00
144   0.87
150   1.00
156   0.96
162   1.00
168   0.93
174   1.00
180   0.96
186   1.00
192   0.50
198   1.00
204   0.96
210   1.00
216   0.93
222   1.00
228   0.96
234   1.00
240   0.87
246   1.00
252   0.96
258   1.00
264   0.93
270   1.00
276   0.96
282   1.00
288   0.75
294   1.00
300   0.96
306   1.00
312   0.93
318   1.00
324   0.96
330   1.00
336   0.87
342   1.00
348   0.96
354   1.00
360   0.93
366   1.00
372   0.96
378   1.00
384   0.00
